sbd,toan,ngu_van,ngoai_ngu,li,hoa,sinh,lich_su,dia_ly,gdcd
02000365,8.60,5.75,-1,6.75,8.25,8.75,-1,-1,-1,
02000366,5.20,6.00,5.00,3.50,4.25,6.50,-1,-1,-1,
02000367,8.40,6.00,-1,7.50,6.75,5.25,-1,-1,-1,
02000368,8.20,7.00,9.40,3.50,4.25,6.00,-1,-1,-1,
02000369,8.60,7.25,5.40,6.50,8.50,3.50,-1,-1,-1,
02000370,8.20,8.25,8.20,-1,-1,-1,8.25,7.75,8.25,
02000371,8.40,7.75,8.80,7.25,7.00,6.75,-1,-1,-1,
02000372,7.60,5.75,7.20,5.00,5.00,4.50,-1,-1,-1,
02000373,7.80,6.50,8.60,6.50,6.50,5.50,-1,-1,-1,
02000374,8.00,7.00,9.20,4.25,9.00,9.25,-1,-1,-1,
02000375,8.80,7.75,9.40,7.00,6.25,7.00,-1,-1,-1,
02000376,8.60,8.50,9.00,8.50,6.75,7.75,-1,-1,-1,
02000377,6.00,6.75,5.40,3.50,4.50,5.00,-1,-1,-1,
02000378,7.60,6.75,9.40,5.00,7.00,6.25,-1,-1,-1,
02000379,6.20,6.75,6.00,7.50,6.75,4.50,-1,-1,-1,
02000380,5.80,4.75,2.40,5.00,4.50,5.25,-1,-1,-1,
02000381,8.20,6.50,6.80,6.25,6.00,4.50,-1,-1,-1,
02000382,7.40,8.25,8.20,7.00,8.25,6.00,-1,-1,-1,
02000383,5.60,7.25,8.80,3.75,6.25,4.75,-1,-1,-1,
02000384,8.00,5.75,8.60,8.00,6.00,5.25,-1,-1,-1,
02000385,8.60,6.75,9.60,8.25,8.00,5.25,-1,-1,-1,
02000386,8.20,7.00,7.80,7.25,5.75,6.50,-1,-1,-1,
02000387,7.60,7.25,9.00,8.50,7.50,5.00,-1,-1,-1,
02000388,8.00,7.25,9.80,8.25,7.00,7.00,-1,-1,-1,
02000389,7.20,6.75,9.60,8.00,3.25,5.00,-1,-1,-1,
02000390,6.60,5.50,6.20,6.25,4.25,5.00,-1,-1,-1,
02000391,7.60,5.75,8.40,6.50,8.00,5.75,-1,-1,-1,
02000392,7.40,7.75,8.40,7.75,3.00,6.00,-1,-1,-1,
02000393,6.20,7.00,7.80,6.00,4.50,4.50,-1,-1,-1,
02000394,7.40,6.50,9.20,5.25,6.00,7.75,-1,-1,-1,
02000395,7.00,7.00,7.20,3.50,6.00,7.50,-1,-1,-1,
02000396,8.80,7.50,6.80,3.75,9.25,8.50,-1,-1,-1,
02000397,6.60,7.25,8.60,4.25,7.25,5.50,-1,-1,-1,
02000398,7.60,5.50,9.00,7.75,4.75,4.00,-1,-1,-1,
02000399,7.60,5.75,8.00,7.00,7.25,7.00,-1,-1,-1,
02000400,8.00,7.75,9.20,6.50,4.25,6.50,-1,-1,-1,
02000401,8.60,6.00,8.20,8.25,5.00,6.25,-1,-1,-1,
02000402,6.80,5.75,9.00,6.00,3.25,5.50,-1,-1,-1,
02000403,8.20,7.25,9.40,5.25,9.50,9.25,-1,-1,-1,
02000404,8.00,6.75,8.60,4.50,5.25,6.00,-1,-1,-1,
02000405,6.00,5.00,7.40,5.00,5.75,7.00,-1,-1,-1,
02000406,7.60,7.50,8.60,6.25,7.75,7.25,-1,-1,-1,
02000407,8.20,5.25,7.60,8.75,8.75,7.50,-1,-1,-1,
02000408,8.60,6.00,9.40,7.25,6.00,8.00,-1,-1,-1,
02000409,7.40,7.00,8.60,5.25,4.75,5.25,-1,-1,-1,
02000410,7.80,6.00,9.20,4.50,5.75,6.00,-1,-1,-1,
02000411,5.40,5.75,3.40,4.25,4.75,7.25,-1,-1,-1,
02000412,8.20,5.75,8.40,7.00,4.25,5.00,-1,-1,-1,
02000413,6.40,6.50,9.20,4.75,4.75,6.50,-1,-1,-1,
02000414,5.80,5.50,4.00,6.00,6.75,3.75,-1,-1,-1,
02000415,5.60,5.25,4.40,3.75,3.75,4.25,-1,-1,-1,
02000416,8.40,6.50,8.80,6.75,7.75,6.00,-1,-1,-1,
02000417,8.00,5.25,8.20,8.50,8.75,3.00,-1,-1,-1,
02000418,8.00,6.50,6.20,2.75,9.00,8.00,-1,-1,-1,
02000419,7.20,5.75,7.40,5.25,5.75,7.00,-1,-1,-1,
02000420,8.40,3.75,9.00,5.50,7.50,6.75,-1,-1,-1,
02000421,7.00,5.50,9.20,4.75,3.50,4.75,-1,-1,-1,
02000422,8.40,6.50,5.60,7.25,7.75,5.00,-1,-1,-1,
02000423,7.40,6.50,9.20,5.00,6.25,5.50,-1,-1,-1,
02000424,7.60,6.50,8.60,5.25,7.00,6.50,-1,-1,-1,
02000425,8.60,6.50,7.40,5.75,9.00,9.00,-1,-1,-1,
02000426,9.00,6.25,8.60,8.75,6.25,7.00,-1,-1,-1,
02000427,7.20,6.75,7.60,7.50,8.25,5.50,-1,-1,-1,
02000428,8.40,7.50,9.80,7.50,8.25,6.50,-1,-1,-1,
02000429,8.40,4.50,8.80,8.50,6.50,6.25,-1,-1,-1,
02000430,8.00,7.25,7.20,7.75,5.50,6.00,-1,-1,-1,
02000431,7.20,6.75,8.40,7.00,5.00,6.00,-1,-1,-1,
02000432,8.60,7.50,9.80,7.75,8.50,8.00,-1,-1,-1,
02000433,8.40,8.75,9.00,-1,-1,-1,8.50,7.50,9.50,
02000434,7.60,6.50,9.00,4.00,6.75,7.25,-1,-1,-1,
02000435,7.80,7.75,5.60,7.50,8.00,5.25,-1,-1,-1,
02000436,8.40,6.25,8.00,9.00,8.25,6.50,-1,-1,-1,
02000437,8.20,7.75,9.00,7.50,6.00,5.75,-1,-1,-1,
02000438,7.60,3.75,8.40,7.00,7.00,6.00,-1,-1,-1,
02000439,7.00,7.75,8.40,6.75,6.00,6.25,-1,-1,-1,
02000440,8.20,7.00,8.40,7.00,6.25,5.50,-1,-1,-1,
02000441,6.20,7.25,6.40,6.50,5.50,4.25,-1,-1,-1,
02000442,7.60,8.75,9.00,8.50,4.50,4.50,-1,-1,-1,
02000443,8.00,7.50,8.60,7.50,7.00,6.50,-1,-1,-1,
02000444,7.80,7.50,9.00,5.25,4.50,6.00,-1,-1,-1,
02000445,7.00,8.00,9.00,3.25,7.75,6.75,-1,-1,-1,
02000446,7.40,5.50,8.00,7.75,4.00,6.25,-1,-1,-1,
02000447,6.60,6.00,8.60,2.75,5.50,6.75,-1,-1,-1,
02000448,8.20,7.00,9.00,7.25,8.75,4.50,-1,-1,-1,
02000449,8.40,6.00,10.00,6.75,9.75,8.25,-1,-1,-1,
02000450,6.80,6.50,8.60,5.50,3.75,4.50,-1,-1,-1,
02000451,8.00,7.00,9.40,7.00,7.00,6.50,-1,-1,-1,
02000452,8.20,8.00,8.40,5.75,6.75,5.50,-1,-1,-1,
02000453,8.60,6.00,7.60,7.25,9.00,7.25,-1,-1,-1,
02000454,7.60,6.00,8.60,4.00,8.00,4.50,-1,-1,-1,
02000455,9.00,7.00,9.60,8.25,8.50,8.00,-1,-1,-1,
02000456,6.60,6.50,7.80,4.00,3.50,5.25,-1,-1,-1,
02000457,8.80,5.75,8.80,9.25,7.75,6.00,-1,-1,-1,
02000458,8.40,5.75,9.00,7.75,5.25,5.50,-1,-1,-1,
02000459,8.60,6.25,8.60,9.25,8.25,5.50,-1,-1,-1,
02000460,8.20,4.50,7.80,8.00,6.50,5.75,-1,-1,-1,
02000461,8.20,7.25,9.60,9.00,8.75,7.25,-1,-1,-1,
02000462,8.00,5.50,7.40,6.50,5.00,6.50,-1,-1,-1,
02000463,8.00,7.25,7.60,7.25,5.25,5.25,-1,-1,-1,
02000464,6.80,6.00,7.60,4.00,6.25,7.75,-1,-1,-1,
02000465,8.00,6.75,8.80,8.00,4.50,7.25,-1,-1,-1,
02000466,7.20,7.75,9.80,-1,-1,-1,6.50,7.50,7.50,
02000467,7.80,4.00,-1,7.50,7.25,6.75,-1,-1,-1,
02000468,6.40,8.50,6.60,-1,-1,-1,7.75,6.25,8.75,
02000469,7.80,7.00,7.80,7.25,5.50,4.00,-1,-1,-1,
02000470,8.60,7.25,4.40,6.50,5.00,5.25,-1,-1,-1,
02000471,7.00,5.75,5.80,6.00,4.25,6.25,-1,-1,-1,
02000472,8.00,6.75,8.80,8.50,5.00,6.75,-1,-1,-1,
02000473,7.20,7.25,9.00,5.50,4.50,5.50,-1,-1,-1,
02000474,8.80,7.25,-1,-1,-1,-1,7.50,7.50,9.00,
02000475,7.60,8.00,-1,4.25,8.25,8.00,-1,-1,-1,
02000476,6.40,7.25,6.80,6.50,4.50,5.00,-1,-1,-1,
02000477,7.40,6.25,-1,4.75,6.50,8.00,-1,-1,-1,
02000478,7.40,7.75,9.00,4.00,7.25,5.50,-1,-1,-1,
02000479,8.60,6.75,-1,6.50,8.75,6.25,-1,-1,-1,
02000480,8.00,8.50,-1,-1,-1,-1,8.00,8.50,9.00,
02000481,7.40,7.25,8.60,-1,-1,-1,8.00,7.75,8.25,
02000482,6.20,8.25,7.80,-1,-1,-1,7.50,7.75,9.25,
02000483,8.20,8.75,9.00,-1,-1,-1,7.75,7.75,8.75,
02000484,7.40,7.50,8.00,-1,-1,-1,7.00,5.75,8.75,
02000485,7.80,6.75,9.60,4.00,4.75,3.75,-1,-1,-1,
02000486,7.20,8.25,8.20,-1,-1,-1,7.00,8.00,9.00,
02000487,6.80,6.75,6.20,5.75,6.25,8.25,-1,-1,-1,
02000488,6.80,7.75,7.80,6.25,3.75,4.00,-1,-1,-1,
02000489,8.20,6.75,7.80,-1,-1,-1,8.25,7.75,8.75,
02000490,7.40,7.00,8.60,5.50,8.00,6.00,-1,-1,-1,
02000491,8.40,6.50,9.00,4.00,8.75,5.50,-1,-1,-1,
02000492,8.40,6.50,8.40,7.25,9.00,6.25,-1,-1,-1,
02000493,7.40,6.00,8.80,6.75,5.25,6.75,-1,-1,-1,
02000494,5.00,5.50,7.40,-1,-1,-1,7.75,7.75,8.75,
02000495,7.80,6.75,6.60,7.50,4.75,4.25,-1,-1,-1,
02000496,8.60,7.00,8.40,-1,-1,-1,7.75,6.25,8.50,
02000497,6.80,6.50,9.00,5.75,6.25,7.75,-1,-1,-1,
02000498,7.40,7.00,8.60,-1,-1,-1,7.25,8.00,8.50,
02000499,8.40,8.25,9.00,7.25,7.25,6.25,-1,-1,-1,
02000500,5.80,7.00,6.40,5.75,7.50,5.00,-1,-1,-1,
02000501,8.20,8.50,8.80,8.25,6.00,7.50,-1,-1,-1,
02000502,7.40,6.25,7.00,-1,-1,-1,6.25,6.50,8.00,
02000503,8.00,8.25,8.40,-1,-1,-1,5.50,7.00,8.00,
02000504,7.40,8.25,8.60,-1,-1,-1,7.50,5.75,8.25,
02000505,7.60,7.50,6.80,-1,-1,-1,6.00,7.75,8.00,
02000506,8.40,8.25,8.60,6.00,6.75,8.25,-1,-1,-1,
02000507,5.20,6.00,8.40,1.50,7.50,5.50,-1,-1,-1,
02000508,7.80,7.75,9.40,-1,-1,-1,8.00,8.25,9.00,
02000509,8.40,7.00,8.20,-1,-1,-1,7.50,6.75,8.25,
02000510,5.80,6.75,6.80,5.00,7.00,7.00,-1,-1,-1,
02000511,7.20,8.00,9.20,-1,-1,-1,8.00,9.00,9.75,
02000512,9.00,8.00,8.40,6.00,7.50,7.00,-1,-1,-1,
02000513,6.80,8.00,7.80,5.25,8.25,5.00,-1,-1,-1,
02000514,8.00,5.75,9.40,7.50,5.75,5.00,-1,-1,-1,
02000515,7.20,7.75,-1,-1,-1,-1,6.50,6.75,8.00,
02000516,6.60,6.00,7.00,5.75,3.50,4.75,-1,-1,-1,
02000517,7.80,6.25,8.00,7.25,7.00,6.25,-1,-1,-1,
02000518,9.60,6.75,-1,6.75,9.50,9.25,-1,-1,-1,
02000519,6.60,6.75,4.20,-1,-1,-1,7.00,7.25,7.75,
02000520,6.40,6.00,8.60,7.00,5.75,5.00,-1,-1,-1,
02000521,8.80,8.25,8.00,9.00,7.75,6.75,-1,-1,-1,
02000522,5.80,7.00,7.40,-1,-1,-1,7.75,7.75,8.50,
02000523,7.60,6.25,9.40,8.25,5.75,6.75,-1,-1,-1,
02000524,8.20,6.75,9.00,7.25,6.00,4.75,-1,-1,-1,
02000525,8.80,5.50,8.60,8.25,8.00,5.75,-1,-1,-1,
02000526,7.00,8.25,9.80,-1,-1,-1,8.75,7.75,9.00,
02000527,8.40,8.50,8.80,7.00,7.75,6.50,-1,-1,-1,
02000528,8.20,8.00,8.60,-1,-1,-1,6.50,8.50,8.75,
02000529,7.20,7.75,7.40,6.75,7.25,5.75,-1,-1,-1,
02000530,7.80,6.75,-1,7.00,7.25,7.75,-1,-1,-1,
02000531,8.40,6.25,-1,6.25,7.25,7.00,-1,-1,-1,
02000532,7.00,7.50,6.80,7.50,4.75,4.75,-1,-1,-1,
02000533,8.00,7.25,-1,7.50,8.50,8.25,-1,-1,-1,
02000534,7.80,8.00,-1,-1,-1,-1,7.50,7.75,8.75,
02000535,7.40,6.75,7.80,7.75,7.25,6.50,-1,-1,-1,
02000536,7.80,7.25,-1,3.50,6.25,7.75,-1,-1,-1,
02000537,7.80,5.75,-1,4.00,8.75,8.00,-1,-1,-1,
02000538,7.40,7.25,8.00,7.00,5.50,4.25,-1,-1,-1,
02000539,5.80,8.25,7.60,-1,-1,-1,4.75,4.75,7.50,
02000540,8.00,6.75,-1,-1,-1,-1,9.25,8.50,9.25,
02000541,7.80,7.25,8.00,-1,-1,-1,5.25,7.25,7.75,
02000542,8.40,7.25,-1,8.25,9.25,9.25,-1,-1,-1,
02000543,6.80,6.00,3.40,-1,-1,-1,4.75,7.00,8.25,
02000544,7.80,7.75,8.80,8.25,6.50,7.50,-1,-1,-1,
02000545,7.80,7.75,8.60,7.50,7.75,6.75,-1,-1,-1,
02000546,7.20,8.00,8.20,6.25,6.75,6.50,-1,-1,-1,
02000547,8.40,8.75,8.80,4.75,9.00,9.25,-1,-1,-1,
02000548,8.40,8.25,8.60,7.50,8.25,5.75,-1,-1,-1,
02000549,7.60,8.25,9.00,-1,-1,-1,7.75,7.50,8.75,
02000550,7.80,7.00,9.00,7.00,8.25,6.75,-1,-1,-1,
02000551,7.80,7.75,9.20,-1,-1,-1,7.50,6.75,8.25,
02000552,7.20,8.25,7.40,5.50,5.25,6.50,-1,-1,-1,
02000553,8.20,8.00,9.00,-1,-1,-1,8.75,9.25,9.25,
02000554,6.60,7.75,7.80,-1,-1,-1,7.00,7.25,8.25,
02000555,6.60,5.50,3.80,-1,-1,-1,4.00,5.00,7.00,
02000556,8.40,8.50,9.40,-1,-1,-1,7.75,7.50,9.50,
02000557,8.00,8.25,9.40,8.25,4.50,5.75,-1,-1,-1,
02000558,7.80,7.25,8.00,4.50,7.75,7.75,-1,-1,-1,
02000559,8.00,7.50,-1,2.25,7.00,8.00,-1,-1,-1,
02000560,6.00,7.00,9.40,7.00,6.00,7.50,-1,-1,-1,
02000561,7.80,7.75,-1,-1,-1,-1,7.00,7.75,8.50,
02000562,6.80,6.75,8.20,-1,-1,-1,8.50,7.50,8.25,
02000563,8.20,7.00,8.80,5.50,8.75,6.75,-1,-1,-1,
02000564,8.40,6.25,9.80,-1,-1,-1,8.00,8.75,9.25,
02000565,7.00,5.75,7.80,6.00,6.50,2.00,-1,-1,-1,
02000566,7.80,6.75,5.80,7.50,8.25,4.00,-1,-1,-1,
02000567,8.80,5.75,7.80,7.50,5.75,6.50,-1,-1,-1,
02000568,8.60,7.25,7.80,8.00,7.50,5.75,-1,-1,-1,
02000569,7.60,5.75,8.20,5.75,9.25,5.00,-1,-1,-1,
02000570,8.40,7.00,-1,6.50,7.25,4.25,-1,-1,-1,
02000571,8.00,6.50,7.80,3.75,8.00,7.50,-1,-1,-1,
02000572,8.40,6.50,9.20,7.25,7.50,6.75,-1,-1,-1,
02000573,7.00,5.75,6.20,4.50,5.00,4.75,-1,-1,-1,
02000574,7.80,6.25,9.40,8.00,4.25,4.50,-1,-1,-1,
02000575,8.20,6.75,7.60,6.00,8.00,8.50,-1,-1,-1,
02000576,7.60,7.25,9.00,8.25,5.00,7.50,-1,-1,-1,
02000577,7.60,5.75,-1,5.75,4.75,6.50,-1,-1,-1,
02000578,8.40,7.00,9.60,8.00,8.25,6.25,-1,-1,-1,
02000579,7.20,8.50,8.20,6.50,7.50,7.00,-1,-1,-1,
02000580,8.00,6.50,7.60,3.50,7.50,8.25,-1,-1,-1,
02000581,7.20,7.25,8.60,-1,-1,-1,6.50,7.75,8.00,
02000582,8.20,3.75,8.20,7.75,5.50,6.00,-1,-1,-1,
02000583,7.40,6.25,5.20,-1,-1,-1,7.00,6.25,8.00,
02000584,8.60,7.25,6.20,7.75,8.25,6.00,-1,-1,-1,
02000585,7.40,5.75,7.40,5.00,8.00,7.00,-1,-1,-1,
02000586,7.60,8.00,7.20,-1,-1,-1,7.75,7.25,9.00,
02000587,7.40,7.00,-1,5.00,7.25,5.25,-1,-1,-1,
02000588,7.00,7.75,7.00,-1,-1,-1,7.25,7.75,7.75,
02000589,7.80,5.75,8.80,-1,-1,-1,7.75,7.00,9.75,
02000590,8.00,7.00,8.40,7.25,7.00,3.25,-1,-1,-1,
02000591,8.60,5.00,8.40,7.50,8.25,7.25,-1,-1,-1,
02000592,8.60,8.00,8.40,8.00,8.00,5.50,-1,-1,-1,
02000593,9.00,7.00,9.60,9.25,6.50,8.00,-1,-1,-1,
02000594,8.40,7.75,7.60,5.50,5.75,5.25,-1,-1,-1,
02000595,7.40,6.25,-1,6.00,5.25,6.25,-1,-1,-1,
02000596,7.40,6.50,-1,7.00,6.50,7.25,-1,-1,-1,
02000597,7.60,7.75,8.40,6.00,5.00,5.25,-1,-1,-1,
02000598,6.40,6.00,5.60,-1,-1,-1,7.50,6.75,8.25,
02000599,4.80,6.00,5.00,-1,-1,-1,6.00,8.00,8.00,
02000600,6.00,7.00,9.40,4.50,5.50,6.25,-1,-1,-1,
02000601,8.20,7.25,7.60,7.25,8.50,5.25,-1,-1,-1,
02000602,8.00,7.75,9.60,6.25,5.25,5.50,-1,-1,-1,
02000603,6.00,7.50,5.40,8.00,6.75,6.00,-1,-1,-1,
02000604,8.60,7.75,8.40,8.25,5.50,6.00,-1,-1,-1,
02000605,8.00,7.25,8.60,-1,-1,-1,6.25,6.75,7.75,
02000606,6.00,8.00,7.20,-1,-1,-1,6.75,7.50,8.75,
02000607,7.80,7.75,9.00,8.25,7.75,7.25,-1,-1,-1,
02000608,6.60,7.25,7.20,-1,-1,-1,6.00,8.00,9.00,
02000609,7.20,8.25,7.40,-1,-1,-1,7.50,7.50,8.75,
02000610,4.60,5.50,3.00,-1,-1,-1,5.00,4.75,6.50,
02000611,8.40,8.00,9.80,7.75,9.25,8.25,-1,-1,-1,
02000612,7.00,7.50,6.00,-1,-1,-1,5.50,7.25,7.50,
02000613,8.40,7.50,7.80,7.50,5.25,5.50,-1,-1,-1,
02000614,8.40,6.50,8.60,6.00,7.00,6.75,-1,-1,-1,
02000615,8.80,8.50,9.00,-1,-1,-1,8.75,7.50,9.25,
02000616,8.00,5.25,9.60,7.25,7.50,5.50,-1,-1,-1,
02000617,8.40,7.25,8.00,5.75,6.00,6.00,-1,-1,-1,
02000618,8.00,8.00,9.20,-1,-1,-1,8.00,9.00,9.25,
02000619,5.00,7.00,8.80,-1,-1,-1,6.50,6.75,7.00,
02000620,7.80,5.75,6.00,7.00,5.00,6.00,-1,-1,-1,
02000621,9.00,6.25,8.60,3.75,8.25,8.50,-1,-1,-1,
02000622,8.40,6.00,9.80,7.50,6.75,7.00,-1,-1,-1,
02000623,7.40,5.50,5.20,-1,-1,-1,5.75,8.00,8.25,
02000624,8.80,7.75,6.60,6.75,7.25,6.50,-1,-1,-1,
02000625,7.60,6.50,9.00,-1,-1,-1,7.75,6.00,7.50,
02000626,8.40,6.00,7.20,-1,-1,-1,7.25,7.75,8.50,
02000627,8.20,6.50,8.60,7.00,4.75,5.00,-1,-1,-1,
02000628,8.60,6.50,5.00,4.75,3.75,3.75,-1,-1,-1,
02000629,6.40,6.25,3.60,4.00,6.00,5.25,-1,-1,-1,
02000630,5.60,6.00,3.20,-1,-1,-1,5.50,4.75,5.75,
02000631,8.40,7.50,9.20,7.50,8.00,6.75,-1,-1,-1,
02000632,7.20,6.25,7.60,5.00,7.00,4.50,-1,-1,-1,
02000633,7.80,5.50,5.00,3.25,6.25,7.25,-1,-1,-1,
02000634,8.00,6.50,6.20,4.75,7.75,8.00,-1,-1,-1,
02000635,7.20,3.75,9.00,-1,-1,-1,7.00,8.00,8.00,
02000636,8.40,7.50,9.20,8.25,6.25,6.00,-1,-1,-1,
02000637,8.60,7.75,9.20,7.50,9.50,6.25,-1,-1,-1,
02000638,7.00,7.50,8.00,-1,-1,-1,7.25,6.50,8.00,
02000639,7.60,8.00,7.80,6.75,4.75,5.00,-1,-1,-1,
02000640,5.80,7.50,8.00,-1,-1,-1,4.50,6.75,8.75,
02000641,6.80,7.75,7.60,5.75,3.50,5.75,-1,-1,-1,
02000642,8.40,8.50,9.60,-1,-1,-1,8.00,8.50,9.75,
02000643,6.40,8.00,8.00,4.25,7.00,5.50,-1,-1,-1,
02000644,7.60,6.50,6.80,5.00,4.50,5.00,-1,-1,-1,
02000645,7.40,6.00,8.40,-1,-1,-1,6.75,7.50,8.00,
02000646,8.80,8.00,9.00,-1,-1,-1,8.25,8.00,8.75,
02000647,6.00,4.50,6.20,-1,-1,-1,4.25,5.75,4.75,
02000648,8.20,6.50,8.40,-1,-1,-1,6.00,7.75,8.00,
02000649,8.20,7.75,8.80,5.25,5.75,3.50,-1,-1,-1,
02000650,7.40,7.25,8.60,-1,-1,-1,7.50,7.50,8.75,
02000651,5.60,7.00,5.80,3.50,4.50,5.25,-1,-1,-1,
02000652,8.40,7.75,9.20,6.50,5.25,6.25,-1,-1,-1,
02000653,8.40,9.25,8.60,-1,-1,-1,8.00,7.25,8.00,
02000654,7.00,7.25,7.80,-1,-1,-1,7.00,7.50,7.75,
02000655,6.00,6.25,3.80,4.25,4.50,5.75,-1,-1,-1,
02000656,8.20,8.00,8.80,-1,-1,-1,6.25,7.50,7.50,
02000657,7.00,7.00,7.60,3.50,7.25,8.25,-1,-1,-1,
02000658,8.40,5.50,8.20,-1,-1,-1,7.25,5.75,7.75,
02000659,7.20,6.75,7.20,-1,-1,-1,6.00,7.50,8.25,
02000660,9.00,8.25,8.20,-1,-1,-1,7.75,6.25,7.25,
02000661,7.80,7.25,9.40,8.00,3.75,6.50,-1,-1,-1,
02000662,8.00,8.00,9.00,7.00,5.25,5.50,-1,-1,-1,
02000663,8.00,6.00,8.80,6.75,6.75,6.50,-1,-1,-1,
02000664,5.80,7.25,7.80,7.50,6.25,6.25,-1,-1,-1,
02000665,7.20,6.00,9.40,7.75,4.50,6.25,-1,-1,-1,
02000666,8.80,7.50,8.40,-1,-1,-1,7.50,8.00,8.50,
02000667,8.40,7.25,9.40,7.25,6.25,6.50,-1,-1,-1,
02000668,5.60,7.50,-1,-1,-1,-1,8.25,8.75,8.75,
02000669,9.00,7.50,10.00,9.25,7.25,8.00,-1,-1,-1,
02000670,8.00,5.25,9.80,8.00,6.25,4.75,-1,-1,-1,
02000671,7.80,4.25,6.80,7.75,7.00,4.75,-1,-1,-1,
02000672,8.20,5.75,7.40,8.00,2.50,5.00,-1,-1,-1,
02000673,8.80,7.50,9.80,5.50,7.75,7.50,-1,-1,-1,
02000674,8.80,6.00,-1,7.25,9.25,7.75,-1,-1,-1,
02000675,5.60,6.75,7.80,3.75,5.50,5.50,-1,-1,-1,
02000676,8.60,8.00,8.60,-1,-1,-1,7.50,8.75,8.00,
02000677,8.40,8.25,9.40,7.25,6.25,6.25,-1,-1,-1,
02000678,6.60,6.50,-1,-1,-1,-1,6.00,8.75,8.25,
02000679,8.00,7.50,6.20,6.25,8.00,5.00,-1,-1,-1,
02000680,7.00,7.50,-1,-1,-1,-1,8.75,8.25,9.25,
02000681,7.20,7.50,8.80,-1,-1,-1,7.25,7.50,7.75,
02000682,8.00,7.50,7.80,6.75,4.00,4.00,-1,-1,-1,
02000683,7.20,7.75,8.40,-1,-1,-1,8.25,7.75,8.75,
02000684,6.60,7.25,-1,2.75,6.25,5.25,-1,-1,-1,
02000685,7.20,6.50,8.80,7.50,4.75,6.25,-1,-1,-1,
02000686,8.40,6.75,8.40,7.75,4.50,6.25,-1,-1,-1,
02000687,6.60,6.00,7.00,4.00,4.75,5.00,-1,-1,-1,
02000688,8.20,5.75,9.60,4.00,8.25,8.75,-1,-1,-1,
02000689,7.00,6.00,7.00,4.75,5.25,4.25,-1,-1,-1,
02000690,7.60,5.75,6.00,6.00,6.00,5.00,-1,-1,-1,
02000691,7.80,6.25,8.00,6.75,5.25,3.50,-1,-1,-1,
02000692,7.80,7.00,8.80,7.25,4.75,7.00,-1,-1,-1,
02000693,8.00,7.00,8.80,7.00,6.75,5.75,-1,-1,-1,
02000694,7.80,6.50,7.00,6.00,9.00,5.75,-1,-1,-1,
02000695,6.40,6.75,8.00,-1,-1,-1,7.25,5.75,7.50,
02000696,7.40,6.75,7.80,-1,-1,-1,7.00,7.75,9.50,
02000697,7.40,7.75,9.00,-1,-1,-1,8.00,8.25,9.50,
02000698,6.60,7.00,7.20,5.25,5.50,5.25,-1,-1,-1,
02000699,7.20,7.25,9.20,2.50,7.25,3.75,-1,-1,-1,
02000700,7.40,8.00,7.60,-1,-1,-1,8.00,8.50,7.50,
02000701,8.60,7.25,7.80,7.00,9.00,8.25,-1,-1,-1,
02000702,7.00,7.50,6.80,4.50,7.75,5.25,-1,-1,-1,
02000703,6.80,7.00,-1,-1,-1,-1,7.00,8.00,8.75,
02000704,8.20,8.00,8.60,5.25,8.75,8.50,-1,-1,-1,
02000705,8.00,8.00,8.80,7.75,7.25,7.00,-1,-1,-1,
02000706,8.00,6.50,8.20,7.00,7.75,5.75,-1,-1,-1,
02000707,7.00,8.00,8.80,-1,-1,-1,7.75,9.00,8.25,
02000708,8.40,8.00,7.00,-1,-1,-1,7.75,6.50,8.75,
02000709,7.60,7.75,8.40,-1,-1,-1,9.50,10.00,9.25,
02000710,4.20,7.50,9.20,-1,-1,-1,5.75,7.00,8.25,
02000711,8.20,8.25,8.40,7.00,6.25,4.50,-1,-1,-1,
02000712,8.00,6.50,8.40,3.25,7.75,8.25,-1,-1,-1,
02000713,7.40,8.00,9.00,7.00,7.25,6.00,-1,-1,-1,
02000714,7.20,8.25,9.40,-1,-1,-1,7.00,7.25,8.50,
02000715,8.00,7.00,8.00,6.00,4.75,6.75,-1,-1,-1,
02000716,5.40,4.75,3.60,-1,-1,-1,4.50,6.00,6.25,
02000717,7.00,7.25,8.40,-1,-1,-1,6.00,5.75,7.75,
02000718,7.60,7.75,8.60,-1,-1,-1,6.50,6.50,8.75,
02000719,7.40,8.00,8.00,-1,-1,-1,6.75,8.50,9.25,
02000720,8.00,5.50,-1,6.25,8.25,6.00,-1,-1,-1,
02000721,8.00,7.00,-1,-1,-1,-1,6.75,9.00,9.50,
02000722,5.40,7.25,4.40,-1,-1,-1,5.00,5.50,7.25,
02000723,7.00,8.00,9.40,-1,-1,-1,6.75,7.50,9.50,
02000724,5.00,5.00,2.00,-1,-1,-1,4.25,5.00,6.00,
02000725,8.80,8.00,-1,7.25,7.25,7.00,-1,-1,-1,
02000726,8.20,9.00,9.40,-1,-1,-1,8.50,6.25,9.25,
02000727,6.20,7.25,8.60,-1,-1,-1,8.75,6.75,8.25,
02000728,7.80,5.25,8.00,-1,-1,-1,5.00,5.75,7.25,
02000729,7.40,7.00,8.80,-1,-1,-1,8.75,7.75,8.25,
02000730,6.80,7.00,8.60,-1,-1,-1,8.50,7.75,8.00,
02000731,5.00,6.25,9.00,-1,-1,-1,6.50,6.50,8.00,
02000732,8.20,8.25,9.40,-1,-1,-1,7.50,7.25,8.25,
